transaction_date,posted_date,merchant_name,amount,description,transaction_type,category_hint
2024-01-05,2024-01-05,Tesco Grocery,45.32,Groceries,debit,Groceries
2024-01-05,2024-01-05,Costa Coffee,5.20,Coffee,debit,Dining
2024-01-06,2024-01-06,TfL Contactless,2.80,Bus fare,debit,Transport
2024-01-06,2024-01-06,Waitrose Supermarket,62.15,Weekly shopping,debit,Groceries
2024-01-07,2024-01-07,Netflix Subscription,12.99,Streaming service,debit,Subscriptions
2024-01-08,2024-01-08,Uber Trip,18.50,Ride from airport,debit,Transport
2024-01-08,2024-01-08,Sainsbury's,38.74,Groceries,debit,Groceries
2024-01-09,2024-01-09,Gym Membership,29.99,Monthly fee,debit,Healthcare
2024-01-09,2024-01-09,Starbucks,4.50,Coffee,debit,Dining
2024-01-10,2024-01-10,Boots Pharmacy,23.45,Personal care,debit,Personal Care
2024-01-11,2024-01-11,Tesco Grocery,28.90,Evening shopping,debit,Groceries
2024-01-11,2024-01-11,Cineworld Cinemas,12.00,Movie ticket,debit,Entertainment
2024-01-12,2024-01-12,British Gas,145.00,Electricity bill,debit,Utilities
2024-01-12,2024-01-12,Virgin Media,49.99,Internet/TV,debit,Utilities
2024-01-13,2024-01-13,Wagamama Restaurant,42.30,Dinner,debit,Dining
2024-01-14,2024-01-14,Asda,35.60,Groceries,debit,Groceries
2024-01-14,2024-01-14,Spotify Premium,11.99,Music streaming,debit,Subscriptions
2024-01-15,2024-01-15,Costa Coffee,5.20,Coffee,debit,Dining
2024-01-16,2024-01-16,TfL Oyster,15.00,Weekly pass,debit,Transport
2024-01-16,2024-01-16,John Lewis,89.50,Winter coat,debit,Shopping
2024-01-17,2024-01-17,Tesco Grocery,51.23,Groceries,debit,Groceries
2024-01-17,2024-01-17,Caffè Nero,3.80,Coffee,debit,Dining
2024-01-18,2024-01-18,Amazon Prime,14.99,Annual membership (monthly charge),debit,Subscriptions
2024-01-18,2024-01-18,Zizzi Restaurant,56.80,Dinner with friends,debit,Dining
2024-01-19,2024-01-19,Marks & Spencer,45.00,Food shopping,debit,Groceries
2024-01-19,2024-01-19,Starbucks,4.50,Coffee,debit,Dining
2024-01-20,2024-01-20,National Rail,65.00,Monthly travel card,debit,Transport
2024-01-21,2024-01-21,Ocado,78.45,Online groceries,debit,Groceries
2024-01-21,2024-01-21,Pret A Manger,8.50,Lunch,debit,Dining
2024-01-22,2024-01-22,ASOS Online,124.99,Clothing,debit,Shopping
2024-01-22,2024-01-22,Tesco Grocery,32.15,Groceries,debit,Groceries
2024-01-23,2024-01-23,Apple Music,10.99,Music streaming,debit,Subscriptions
2024-01-23,2024-01-23,Nando's Restaurant,28.50,Lunch,debit,Dining
2024-01-24,2024-01-24,Uber Eats,34.20,Food delivery,debit,Dining
2024-01-24,2024-01-24,Waitrose Supermarket,41.30,Groceries,debit,Groceries
2024-01-25,2024-01-25,Microsoft 365,7.00,Office subscription (monthly),debit,Subscriptions
2024-01-25,2024-01-25,Greggs,5.10,Sandwich,debit,Dining
2024-01-26,2024-01-26,Adidas Store,85.00,Running shoes,debit,Shopping
2024-01-26,2024-01-26,Sainsbury's,55.40,Groceries,debit,Groceries
2024-01-27,2024-01-27,BritBox,5.99,TV streaming,debit,Subscriptions
2024-01-27,2024-01-27,Costa Coffee,5.20,Coffee,debit,Dining
2024-01-28,2024-01-28,Tesco Grocery,48.65,Groceries,debit,Groceries
2024-01-28,2024-01-28,Lyft,22.40,Ride to meeting,debit,Transport
2024-01-29,2024-01-29,Boots,18.75,Toiletries,debit,Personal Care
2024-01-29,2024-01-29,Pizza Express,52.00,Dinner,debit,Dining
2024-01-30,2024-01-30,Ocado,65.20,Online groceries,debit,Groceries
2024-02-01,2024-02-01,Netflix,12.99,Streaming,debit,Subscriptions
